#	time	Reference	Challenge	m1	m2	count	scoreblob	scorecolor	sc1(alignment)
65	15.11	Image_1060.jpg	colorTag_68.jpg	64	1837	0	0.0	0.00016406250000000622
66	24.04	Image_1060.jpg	colorTag_69.jpg	64	1090	0	0.0	0.00010347222222217844
67	16.29	Image_1060.jpg	colorTag_7.jpg	64	879	0	0.0	0.00015694444444447342
68	15.44	Image_1060.jpg	colorTag_70.jpg	64	1048	0	0.0	0.00010277777777778496
69	15.63	Image_1060.jpg	colorTag_71.jpg	64	767	0	0.0	0.00039409722222216725
70	14.95	Image_1060.jpg	colorTag_72.jpg	64	408	0	0.0	0.0004088541666666945
71	14.19	Image_1060.jpg	colorTag_73.jpg	64	194	0	0.0	0.0001623263888889115
72	14.23	Image_1060.jpg	colorTag_74.jpg	64	2237	0	0.0	0.0001460069444444434
73	23.51	Image_1060.jpg	colorTag_75.jpg	64	1531	0	0.0	0.00012552083333328135
74	17.59	Image_1060.jpg	colorTag_76.jpg	64	0	0	0.0	0.0005963541666667016
75	14.12	Image_1060.jpg	colorTag_77.jpg	64	795	0	0.0	0.0004618055555555278
76	16.00	Image_1060.jpg	colorTag_78.jpg	64	232	0	0.0	0.00044809027777781285
77	14.56	Image_1060.jpg	colorTag_79.jpg	64	1322	0	0.0	0.00018315972222227028
78	16.86	Image_1060.jpg	colorTag_8.jpg	64	912	0	0.0	0.00015416666666667744
79	15.87	Image_1060.jpg	colorTag_80.jpg	64	920	0	0.0	0.00017152777777773576
80	15.57	Image_1060.jpg	colorTag_81.jpg	64	823	0	0.0	0.00013489583333337052
81	15.13	Image_1060.jpg	colorTag_82.jpg	64	2421	0	0.0	0.0004581597222221845
82	24.80	Image_1060.jpg	colorTag_83.jpg	64	911	0	0.0	0.00010659722222217116
83	15.98	Image_1060.jpg	colorTag_84.jpg	64	68	0	0.0	0.0001751736111110791
84	14.33	Image_1060.jpg	colorTag_85.jpg	64	642	0	0.0	0.0001934027777777958
85	14.78	Image_1060.jpg	colorTag_86.jpg	64	1976	0	0.0	0.00035190972222221006
86	21.94	Image_1060.jpg	colorTag_87.jpg	64	2184	0	0.0	6.197916666661474e-05
87	25.69	Image_1060.jpg	colorTag_88.jpg	64	1503	0	0.0	0.0004352430555555342
88	18.43	Image_1060.jpg	colorTag_89.jpg	64	1649	2	0.0011675423234092236	0.00010086805555553635
89	17.67	Image_1060.jpg	colorTag_9.jpg	64	116	0	0.0	0.0003361111111110926
90	14.11	Image_1060.jpg	colorTag_90.jpg	64	344	0	0.0	0.0004015625000000078
91	14.48	Image_1060.jpg	colorTag_91.jpg	64	2079	0	0.0	0.0004894097222222227
92	19.62	Image_1060.jpg	colorTag_92.jpg	64	326	0	0.0	0.0004335069444444395
93	14.42	Image_1060.jpg	colorTag_93.jpg	64	655	1	0.0	0.0001296874999999753
94	16.27	Image_1060.jpg	colorTag_94.jpg	64	1409	0	0.0	0.00011076388888886513
95	18.15	Image_1060.jpg	colorTag_95.jpg	64	674	0	0.0	0.000268402777777732
96	15.26	Image_1060.jpg	colorTag_96.jpg	64	1317	0	0.0	9.947916666663836e-05
97	18.73	Image_1060.jpg	colorTag_97.jpg	64	229	0	0.0	0.0005569444444444294
98	14.43	Image_1060.jpg	colorTag_98.jpg	64	69	0	0.0	0.00022760416666667282
99	13.84	Image_1060.jpg	colorTag_99.jpg	64	1169	0	0.0	0.00010590277777777768
100	15.50	Image_1079.jpg	colorTag_0.jpg	112	1110	0	0.0	0.0004927083333333693
1	16.49	Image_1079.jpg	colorTag_1.jpg	112	2931	1	0.0006572461386789353	0.00021128472222220473
2	38.35	Image_1079.jpg	colorTag_10.jpg	112	223	0	0.0	0.0002836805555556099
3	14.68	Image_1079.jpg	colorTag_11.jpg	112	35	0	0.0	0.0004838541666666307
4	14.45	Image_1079.jpg	colorTag_12.jpg	112	1758	0	0.0	0.0005031250000000487
5	24.51	Image_1079.jpg	colorTag_13.jpg	112	686	0	0.0	0.00015746527777782404
6	15.30	Image_1079.jpg	colorTag_14.jpg	112	863	0	0.0	0.00023142361111105902
7	15.94	Image_1079.jpg	colorTag_15.jpg	112	1413	0	0.0	0.00016961805555559817
8	17.61	Image_1079.jpg	colorTag_16.jpg	112	88	0	0.0	0.00041093749999998597
9	14.12	Image_1079.jpg	colorTag_17.jpg	112	183	0	0.0	0.00020260416666662007
10	14.17	Image_1079.jpg	colorTag_18.jpg	112	1964	0	0.0	0.0001531249999999762
11	19.85	Image_1079.jpg	colorTag_19.jpg	112	1231	0	0.0	0.00018472222222221113
12	19.38	Image_1079.jpg	colorTag_2.jpg	112	452	0	0.0	0.00017881944444442244
13	14.70	Image_1079.jpg	colorTag_20.jpg	112	971	0	0.0	0.00017430555555553173
14	17.32	Image_1079.jpg	colorTag_21.jpg	112	207	0	0.0	0.00030468750000001155
15	14.16	Image_1079.jpg	colorTag_22.jpg	112	1163	0	0.0	0.0004973958333333028
16	16.64	Image_1079.jpg	colorTag_23.jpg	112	632	0	0.0	0.0005380208333333192
17	15.40	Image_1079.jpg	colorTag_24.jpg	112	1946	0	0.0	0.0005319444444444876
18	29.16	Image_1079.jpg	colorTag_25.jpg	112	1369	0	0.0	0.00020781250000001528
19	17.78	Image_1079.jpg	colorTag_26.jpg	112	925	0	0.0	0.0001642361111111601
20	15.46	Image_1079.jpg	colorTag_27.jpg	112	2285	0	0.0	0.0001751736111110791
21	23.10	Image_1079.jpg	colorTag_28.jpg	112	1954	3	0.000968054211035818	0.00018958333333329858
