time	m1	m2	count_detected	scorecolor	score1	score2
5.3669915199279785	8	7	3	0.4	0.14637986111111112	0.48978055555555555
5.691347360610962	8	3	2	0.36363636363636365	0.041328472222222246	0.24509930555555556
7.988809108734131	12	11	10	0.8695652173913043	0.4042444444444444	0.8114180555555556
7.841603517532349	12	3	1	0.13333333333333333	0.050224999999999964	0.1521340277777778
7.953445911407471	8	7	3	0.4	0.14637986111111112	0.48978055555555555
7.889640808105469	8	3	2	0.36363636363636365	0.041328472222222246	0.24509930555555556
7.850384473800659	12	11	10	0.8695652173913043	0.4042444444444444	0.8114180555555556
7.706660509109497	12	3	1	0.13333333333333333	0.050224999999999964	0.1521340277777778
7.303427219390869	8	7	3	0.4	0.14637986111111112	0.48978055555555555
7.397125959396362	8	3	2	0.36363636363636365	0.041328472222222246	0.24509930555555556
7.488629102706909	12	11	10	0.8695652173913043	0.4042444444444444	0.8114180555555556
7.538755178451538	12	3	1	0.13333333333333333	0.050224999999999964	0.1521340277777778
7.745449542999268	8	7	3	0.4	0.14637986111111112	0.48978055555555555
7.626905918121338	8	3	2	0.36363636363636365	0.041328472222222246	0.24509930555555556
7.50238037109375	12	11	10	0.8695652173913043	0.4042444444444444	0.8114180555555556
7.50751805305481	12	3	1	0.13333333333333333	0.050224999999999964	0.1521340277777778
