reference	retake	time	m1	m2	count_detected	scorecolor	score1	score2
Image_228.jpg	Image_228.jpg	21.54	41	41	41	1.0	1.0	1.0
Image_228.jpg	Image_228_blur_1_scaled_90.jpg	20.66	41	41	39	0.9512195121951219	0.43366677451826285	0.7122857348288755
Image_228.jpg	Image_228_blur_1_scaled_91.jpg	20.36	41	41	41	1.0	0.47840110008628123	0.7411437661777395
Image_228.jpg	Image_228_blur_1_scaled_92.jpg	20.38	41	40	40	0.9876543209876543	0.46835238711532934	0.734325747771067
Image_228.jpg	Image_228_blur_1_scaled_93.jpg	20.45	41	41	38	0.926829268292683	0.42446793212539546	0.710230442910555
Image_228.jpg	Image_228_blur_1_scaled_94.jpg	20.42	41	41	39	0.9512195121951219	0.46543823698590736	0.732073626689675
Image_228.jpg	Image_228_blur_1_scaled_95.jpg	20.4	41	40	40	0.9876543209876543	0.47705690969226344	0.7385253091745758
Image_228.jpg	Image_228_blur_1_scaled_96.jpg	20.4	41	41	41	1.0	0.5114247195858499	0.7573414581535807
Image_228.jpg	Image_228_blur_1_scaled_97.jpg	20.44	41	40	40	0.9876543209876543	0.48259562841530057	0.7416215487489215
Image_228.jpg	Image_228_blur_1_scaled_98.jpg	20.41	41	40	40	0.9876543209876543	0.5058851020995111	0.752885030198447
Image_228.jpg	Image_228_blur_1_scaled_99.jpg	20.39	41	40	40	0.9876543209876543	0.5172050258843831	0.7600742378487202
Image_228.jpg	Image_228_blur_1_scaled_100.jpg	20.39	41	41	41	1.0	0.8173844190394017	0.9037384958297383
Image_228.jpg	Image_228_blur_1_scaled_101.jpg	20.38	41	41	41	1.0	0.48150255248777685	0.7070766824849007
Image_228.jpg	Image_228_blur_1_scaled_102.jpg	20.4	41	40	40	0.9876543209876543	0.4914027897612885	0.7133396246764452
Image_228.jpg	Image_228_blur_1_scaled_103.jpg	20.64	41	41	41	1.0	0.49576125251653724	0.7143234109864826
Image_228.jpg	Image_228_blur_1_scaled_104.jpg	20.94	41	40	40	0.9876543209876543	0.48826826287029046	0.7092793715846994
Image_228.jpg	Image_228_blur_1_scaled_105.jpg	20.84	41	42	39	0.9397590361445783	0.46664797238999134	0.6981075639919471
Image_228.jpg	Image_228_blur_1_scaled_106.jpg	20.72	41	40	40	0.9876543209876543	0.5328325424216278	0.7338159692263445
Image_228.jpg	Image_228_blur_1_scaled_107.jpg	21.17	41	40	40	0.9876543209876543	0.5206187086568881	0.7300566220880069
